KnessetNum,Year,Month,Day,Diplomacy_score,Ecologics_score,Economics_score,Education_score,Health_score,Security_score,CommitteeSessionID,Number,Mks,Topics,CommitteeID
16,2003,11,24,0,0,0,1,0,7,65637,97,206,חוק הירושה (תיקון מס' 11) התשס"ד-2004 ; חוק משפחות חיילים שנספו במערכה (תגמולים ושיקום) (תיקון מס' 26) התשס"ד-2004 ; חוק משפחות חיילים שנספו במערכה (תגמולים ושיקום) (תיקון מס' 25) התשס"ד-2004,25
16,2003,11,25,0,0,4,8,1,1,65638,98,100,חוק נושאי משרה שיפוטית (מניעה מלשבת בדין) (תיקוני חקיקה) התשס"ד-2004,25
16,2003,11,25,0,5,0,0,1,0,65639,99,100,תקנות העבירות המנהליות (קנס מנהלי - אגודות שיתופיות) התשס"ד - 2003 ; צו סדר הדין הפלילי (עבירות קנס - פינוי יריעות פלסטיק) התשס"ד - 2003 ; צו סדר הדין הפלילי (ברירת משפט - פינוי יריעות פלסטיק) התשס"ד - 2003,25
16,2003,11,26,0,0,0,1,0,7,65640,100,100;744;137;206;725,חוק להסדרת סמכות לכבילת עצור או אסיר במקום ציבורי (תיקוני חקיקה) התשס"ד-2003,25
16,2003,11,25,0,0,0,0,3,75,65642,92,218;91,אלימות שוטרים וסוהרים כלפי עצירים ואסירים,24
16,2003,11,26,0,12,0,4,0,5,65644,93,220;739;748;749,הצעת חוק שמירת הסביבה החופית התשס"ג-2003,24
16,2003,11,25,3,0,3,18,19,2,65670,28,753,טיפול המדינה בקטינים (מתחת לגיל 12) הפוגעים מינית,35
16,2003,12,02,3,0,0,10,76,3,65680,29,,ילדים להורים פגועי נפש,35
16,2003,11,30,4,0,2,2,2,1,65681,106,121;740;742;713;729,סיור בת"א - "העיר הלבנה",27
16,2003,12,01,7,0,18,125,8,8,65682,107,35;742;713;753;126;91;222,הפורום לאחריות לאומית לרפורמה מבנית במערכת החינוך,27
16,2003,12,01,0,0,0,79,20,3,65683,108,736;742;748;723;126,יום האיידס הבינלאומי- הסברה בבתיה"ס על מחלת האיידס,27
16,2003,12,02,0,0,1,107,17,4,65684,109,35;37;742;753;723;126,הטיפול הכולל בתלמידים לקויי למידה - היום הבינלאומי לאנשים עם מוגבלויות,27
16,2003,12,02,0,0,2,1,4,64,65688,99,64;713;729,הצעת חוק מאבטחים אזרחיים התשס"ג-2003 ; הצעת חוק ממוני ביטחון התשס"ג-2003,24
16,2003,12,03,0,1,11,5,4,2,65689,100,739;35;7;13;749;757,הקמת ועדת משנה לנושא הערים לוד עכו ; הצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה) התשס"ד-2003 - פרק ג' - תכנון ובניה,24
16,2003,12,02,4,14,2,0,25,6,65690,12,729;35;121,חומרי הדברה בחקלאות,79
16,2003,12,04,1,0,3,9,0,3,65692,112,736;738;742;723;727;697;126,סיור בטלוויזיה החינוכית,27
16,2003,12,01,0,0,8,2,0,1,65693,101,206,חוק החברות (תיקון מס' 2) התשס"ד-2003,25
