,Lexicon words,Frquency
0,תיכון,5
1,כלכלית,52
2,ביטחון,145
3,"צה""ל",21
4,שכר,214
5,שיעור,42
6,מורים,17
7,כלכלה,26
8,משכנתא,11
9,"נדל""ן",2
10,מבחן,82
11,אשראי,161
12,בנק,173
13,תלמידים,32
14,הודו,3
15,הגנה,39
16,בנקים,36
17,להגן,40
18,רופא,86
19,משלחות,5
20,בטחון,23
21,צרפת,5
22,מחזור,12
23,משלחת,7
24,חיל,3
25,שגרירים,2
26,רופאים,46
27,תלמיד,36
28,רפואה,18
29,חולים,492
30,בתי החולים,54
31,ניתוחים,3
32,מורה,54
33,משכורת,30
34,בריאות,382
35,חייל,19
36,מרפאה,61
37,מפקד,24
38,בית ספר,34
39,ארצות הברית,9
40,כיתות,4
41,מניות,2
42,בתי ספר,20
43,הוראה,25
44,אשפוז,106
45,בית חולים,44
46,כיתה,24
47,חולה,63
48,בתי חולים,38
49,מרפאות,54
50,שיעורים,22
51,פיגועים,4
52,גדודים,1
53,תרופות,24
54,רופאה,4
55,תרופה,6
56,ריבית,13
57,פיגוע,1
58,מבחנים,33
59,חיילים,27
60,תלמידה,2
61,פנסיה,3
62,ניתוח,14
63,זיהום,15
64,איכות הסביבה,18
65,מזהמים,1
66,מפגע,1
67,טיל,1
68,משכורות,6
69,הלוואה,10
70,שגריר,1
71,יסודי,1
72,משכנתאות,4
73,חיילת,2
74,חיילות,2
75,גרמניה,5
76,משרד החוץ,1
77,שירות חובה,1
78,"או""ם",1
79,אשפוזים,6
80,מחבל,1
81,תלמידות,1
82,"רמטכ""ל",1
83,גדוד,1
