,Lexicon words,Frquency
0,בנק,15101
1,ריבית,4293
2,משכורת,1859
3,משכורות,861
4,מניות,1947
5,ביטחון,26503
6,אשראי,9625
7,פנסיה,3860
8,הלוואה,2374
9,בנקים,7045
10,כלכלה,13155
11,שכר,17962
12,הוראה,8927
13,מחזור,1700
14,הגנה,6863
15,שיעור,7373
16,להגן,4654
17,גרמניה,795
18,הולנד,329
19,טילים,271
20,מבחן,5963
21,בריאות,36544
22,ניתוח,2558
23,בית ספר,6914
24,הודו,319
25,חולים,19407
26,בית חולים,3650
27,מורה,4410
28,כלכלית,7670
29,איכות הסביבה,755
30,מניה,484
31,צרפת,955
32,תלמידים,9866
33,מורים,6884
34,פיגוע,576
35,תלמיד,3269
36,רופא,7576
37,רופאים,6393
38,יסודי,1258
39,בתי ספר,4449
40,שיעורים,1186
41,כיתות,4097
42,תרופות,3270
43,משכנתא,645
44,משרד החוץ,1395
45,בטחון,2564
46,שגרירויות,81
47,שגרירות,376
48,BDS,193
49,דיפלומט,98
50,ארצות הברית,2324
51,שגרירים,179
52,קונסוליות,32
53,חמאס,397
54,טיל,365
55,תלמידה,440
56,אזעקה,85
57,"צה""ל",6151
58,פצועים,474
59,"נדל""ן",708
60,מרפאה,1511
61,רפואה,4073
62,חולה,2764
63,מרפאות,1674
64,בתי החולים,1946
65,בתי חולים,1659
66,למחזר,86
67,התקפה,183
68,חיל,995
69,אינפלציה,153
70,חיילים,4496
71,כיתה,5244
72,מבחנים,1473
73,תיכון,1720
74,תלמידות,340
75,חיילות,325
76,מפקד,2463
77,חייל,2102
78,תרופה,1513
79,זיהום,2099
80,מזהם,220
81,הרוגים,964
82,מפגע,352
83,מזהמת,50
84,רופאה,380
85,אשפוזים,206
86,אישפוז,12
87,"רמטכ""ל",464
88,משכנתאות,698
89,אשפוז,1758
90,"בי""ס",196
91,תיכונים,215
92,שגריר,488
93,הלוואות,1982
94,מחבל,283
95,פנסיות,291
96,מזהמים,288
97,"תל""ג",44
98,"תמ""ג",30
99,אקולוגיה,56
100,פיגועים,317
101,פלוגה,114
102,אום,1057
103,חיילת,264
104,חיזבאללה,70
105,משלחת,452
106,משלחות,295
107,טנקים,89
108,"או""ם",669
109,שגרירה,67
110,ניתוחים,656
111,מזהמות,33
112,דיפלומטית,49
113,דיפלומטים,45
114,כיפת ברזל,60
115,צבא הגנה לישראל,113
116,סוציאליזם,13
117,"דאע""ש",25
118,שירות קבע,35
119,דאעש,60
120,ממחזרים,51
121,גדוד,211
122,מיחזור,213
123,פגועים,44
124,להתקיף,32
125,רופאות,84
126,פלוגות,74
127,טנק,45
128,גדודים,119
129,"פצמ""ר",12
130,מחבלת,27
131,קפיטליזם,15
132,נדלן,4
133,ממחזרת,9
134,שירות חובה,44
135,גאפ,6
136,אישפוזים,1
137,ממחזר,22
138,אזעקות,22
139,קונסוליה,62
140,חזבאללה,2
141,ג'יהאד אסלאמי,2
142,ממחזרות,1
143,תוצר לאומי גולמי,1
